part,reference product,activity,location,nacelle,rotor,other,transformer + cabinet + electrical cabinet,foundation,tower,platform,grid connector,,
moving,"electricity, medium voltage","market group for electricity, medium voltage",GLO,,,1.00,,,,,,,
moving,"sheet rolling, chromium steel","market for sheet rolling, chromium steel",GLO,0.79,0.21,,,,,,,,
moving,"steel, chromium steel 18/8, hot rolled","market for steel, chromium steel 18/8, hot rolled",GLO,0.79,0.21,,,,,,,,
moving,"section bar rolling, steel","market for section bar rolling, steel",GLO,0.68,0.31,,0.01,,,,,,
moving,"glass fibre reinforced plastic, polyamide, injection moulded","market for glass fibre reinforced plastic, polyamide, injection moulded",GLO,0.13,0.87,0.00,,,,,,,
moving,cast iron,market for cast iron,GLO,0.51,0.49,,,,,,,,
moving,"steel, low-alloyed, hot rolled","market for steel, low-alloyed, hot rolled",GLO,0.98,,,0.02,,,,,,
moving,"copper, cathode","market for copper, cathode",GLO,0.28,,,,,,,0.72,,
moving,"wire drawing, copper","market for wire drawing, copper",GLO,0.28,,,,,,,0.72,,
moving,"polyethylene, high density, granulate","market for polyethylene, high density, granulate",GLO,0.00,,,0.04,,,,0.96,,
moving,"polyvinylchloride, bulk polymerised","market for polyvinylchloride, bulk polymerised",GLO,0.00,,,0.01,,,,0.99,,
moving,"aluminium, wrought alloy","market for aluminium, wrought alloy",GLO,1.00,,,,,,,,,
moving,"sheet rolling, aluminium","market for sheet rolling, aluminium",GLO,1.00,,,,,,,,,
moving,synthetic rubber,market for synthetic rubber,GLO,1.00,,,,,,,,,
moving,lubricating oil,market for lubricating oil,RoW,1.00,,,,,,,,,
moving,"polypropylene, granulate","market for polypropylene, granulate",GLO,0.00,,,,,,,1.00,,
moving,lubricating oil,market for lubricating oil,RER,1.00,,,,,,,,,
moving,lead,market for lead,GLO,0.00,,,1.00,,,,,,
moving,tin,market for tin,GLO,0.00,,,1.00,,,,,,
moving,waste polypropylene,market for waste polypropylene,CY,0.00,,,,,,,1.00,,
moving,waste polypropylene,market for waste polypropylene,PE,0.00,,,,,,,1.00,,
moving,waste polypropylene,market for waste polypropylene,ZA,0.00,,,,,,,1.00,,
moving,waste polypropylene,market for waste polypropylene,IN,0.00,,,,,,,1.00,,
moving,waste glass,market for waste glass,CY,0.13,0.87,,,,,,,,
moving,waste polypropylene,market for waste polypropylene,CO,0.00,,,,,,,1.00,,
moving,waste polyethylene,market for waste polyethylene,CY,0.00,,,0.04,,,,0.96,,
moving,waste polyethylene,market for waste polyethylene,PE,0.00,,,0.04,,,,0.96,,
moving,waste glass,market for waste glass,IN,0.13,0.87,,,,,,,,
moving,waste polyvinylchloride,market for waste polyvinylchloride,CY,0.00,,,0.01,,,,0.99,,
moving,waste glass,market for waste glass,PE,0.13,0.87,,,,,,,,
moving,waste polyethylene,market for waste polyethylene,ZA,0.00,,,0.04,,,,0.96,,
moving,waste polyethylene,market for waste polyethylene,IN,0.00,,,0.04,,,,0.96,,
moving,waste polyvinylchloride,market for waste polyvinylchloride,PE,0.00,,,0.01,,,,0.99,,
moving,waste glass,market for waste glass,ZA,0.13,0.87,,,,,,,,
moving,waste polypropylene,market for waste polypropylene,BR,0.00,,,,,,,1.00,,
moving,waste polypropylene,market group for waste polypropylene,RER,0.00,,,,,,,1.00,,
moving,waste polyethylene,market for waste polyethylene,CO,0.00,,,0.04,,,,0.96,,
moving,waste polyvinylchloride,market for waste polyvinylchloride,ZA,0.00,,,0.01,,,,0.99,,
moving,waste polyvinylchloride,market for waste polyvinylchloride,IN,0.00,,,0.01,,,,0.99,,
moving,"waste plastic, mixture","market for waste plastic, mixture",CY,0.13,0.87,,,,,,,,
moving,waste glass,market for waste glass,CO,0.13,0.87,,,,,,,,
moving,waste polyvinylchloride,market for waste polyvinylchloride,CO,0.00,,,0.01,,,,0.99,,
moving,"waste plastic, mixture","market for waste plastic, mixture",PE,0.13,0.87,,,,,,,,
moving,waste mineral oil,market for waste mineral oil,CH,1.00,,,,,,,,,
moving,"waste plastic, mixture","market for waste plastic, mixture",ZA,0.13,0.87,,,,,,,,
moving,"waste plastic, mixture","market for waste plastic, mixture",IN,0.13,0.87,,,,,,,,
moving,waste polyethylene,market for waste polyethylene,BR,0.00,,,0.04,,,,0.96,,
moving,waste polyethylene,market group for waste polyethylene,RER,0.00,,,0.04,,,,0.96,,
moving,waste glass,market for waste glass,BR,0.13,0.87,,,,,,,,
moving,"waste plastic, mixture","market for waste plastic, mixture",CO,0.13,0.87,,,,,,,,
moving,waste polyvinylchloride,market for waste polyvinylchloride,BR,0.00,,,0.01,,,,0.99,,
moving,waste polyvinylchloride,market group for waste polyvinylchloride,RER,0.00,,,0.01,,,,0.99,,
moving,waste glass,market group for waste glass,RER,0.13,0.87,,,,,,,,
moving,waste mineral oil,market for waste mineral oil,Europe without Switzerland,0.00,,,,,,,1.00,,
moving,waste polypropylene,market for waste polypropylene,RoW,0.00,,,,,,,1.00,,
moving,scrap copper,market for scrap copper,CH,0.28,,,,,,,0.72,,
moving,"waste plastic, mixture","market for waste plastic, mixture",BR,0.13,0.87,,,,,,,,
moving,"waste plastic, mixture","market group for waste plastic, mixture",RER,0.13,0.87,,,,,,,,
moving,waste mineral oil,market for waste mineral oil,RoW,1.00,,,,,,,,,
moving,"aluminium scrap, new","aluminium scrap, new, Recycled Content cut-off",GLO,1.00,,,,,,,,,
moving,waste polyvinylchloride,market for waste polyvinylchloride,RoW,0.00,,,0.01,,,,0.99,,
moving,scrap copper,market for scrap copper,Europe without Switzerland,0.28,,,,,,,0.72,,
moving,waste polyethylene,market for waste polyethylene,RoW,0.00,,,0.04,,,,0.96,,
moving,scrap copper,market for scrap copper,RoW,0.28,,,,,,,0.72,,
moving,"waste plastic, mixture","market for waste plastic, mixture",RoW,0.13,0.87,,,,,,,,
moving,waste glass,market for waste glass,RoW,0.13,0.87,,,,,,,,
moving,"iron scrap, unsorted","iron scrap, unsorted, Recycled Content cut-off",GLO,0.51,0.49,,,,,,,,
fixed,"sheet rolling, steel","market for sheet rolling, steel",GLO,,,0.00,,,0.87,0.13,,,
fixed,"steel, low-alloyed, hot rolled","market for steel, low-alloyed, hot rolled",GLO,0.00,,0.00,,,0.87,0.13,,,
fixed,"diesel, burned in building machine","market for diesel, burned in building machine",GLO,0.00,,1.00,,,,,,,
fixed,reinforcing steel,market for reinforcing steel,GLO,0.00,,,,1.00,,,,,
fixed,"epoxy resin, liquid","market for epoxy resin, liquid",RoW,0.00,,,,,1.00,,,,
fixed,"welding, arc, steel","market for welding, arc, steel",GLO,0.00,,0.00,,,0.87,0.13,,,
fixed,"concrete, normal strength","market group for concrete, normal strength",GLO,0.00,,,,1.00,,,,,
fixed,"epoxy resin, liquid","market for epoxy resin, liquid",RER,0.00,,,,,1.00,,,,
fixed,"electricity, medium voltage","market group for electricity, medium voltage",GLO,0.00,,1.00,,,,,,,
fixed,scrap steel,market for scrap steel,CH,0.00,,,,,,,,,
fixed,waste reinforced concrete,market for waste reinforced concrete,CH,,,0.00,,,0.87,0.13,,,
fixed,waste reinforced concrete,market for waste reinforced concrete,Europe without Switzerland,,,,,1.00,,,,,
fixed,scrap steel,market for scrap steel,Europe without Switzerland,,,0.00,,,0.87,0.13,,,
fixed,scrap steel,market for scrap steel,RoW,,,0.00,,,0.87,0.13,,,
fixed,waste reinforced concrete,market for waste reinforced concrete,RoW,,,,,1.00,,,,,
