country code,Technology,Year,generation (GWh)
AF,onshore,2022,0.12
DZ,onshore,2022,16
AR,onshore,2022,14168
AM,onshore,2022,1.8
AW,onshore,2022,130.99
AU,onshore,2022,29108
AT,onshore,2022,7245.13
AZ,onshore,2022,83.3
BS,onshore,2022,0.79
BH,onshore,2022,1.2
BD,onshore,2022,5.08
BB,onshore,2022,0.06
BY,onshore,2022,176.6
BE,onshore,2022,5700.8
BE,offshore,2022,6651.8
BZ,onshore,2022,0.03
BT,onshore,2022,0.43
BO,onshore,2022,440.54
BQ,onshore,2022,29.36
BA,onshore,2022,391
BR,onshore,2022,81631.57
VG,onshore,2022,2.46
BG,onshore,2022,1499.13
CV,onshore,2022,73.78
KH,onshore,2022,0.3
CA,onshore,2022,36853
KY,onshore,2022,1.4
TD,onshore,2022,8.9
CL,onshore,2022,8893
CN,onshore,2022,699770.62
CN,offshore,2022,63572.25
CN,onshore,2022,0.83
CO,onshore,2022,74.3
CR,onshore,2022,1369.25
HR,onshore,2022,2137.8
CU,onshore,2022,63.78
CW,onshore,2022,183.39
CY,onshore,2022,224.27
CZ,onshore,2022,641.33
KP,onshore,2022,2.8
DK,onshore,2022,10275.03
DK,offshore,2022,8752.8
DJ,onshore,2022,69.4
DM,onshore,2022,0.6
DO,onshore,2022,1175.44
EC,onshore,2022,60.6
EG,onshore,2022,5677.45
SV,onshore,2022,135.53
ER,onshore,2022,1.45
EE,onshore,2022,668
ET,onshore,2022,560.57
FK,onshore,2022,4.5
FO,onshore,2022,90.1
FJ,onshore,2022,0.09
FI,onshore,2022,11749.79
FI,offshore,2022,272.16
FR,onshore,2022,38004.23
PF,onshore,2022,0.08
GM,onshore,2022,2.13
GE,onshore,2022,87.5
DE,onshore,2022,99692
DE,offshore,2022,25124
GH,onshore,2022,0.04
GR,onshore,2022,10883.25
GL,onshore,2022,0.03
GD,onshore,2022,0.22
GP,onshore,2022,110.93
GU,onshore,2022,0.5
GT,onshore,2022,313.8
GY,onshore,2022,0.46
HT,onshore,2022,0.07
HN,onshore,2022,689.21
HU,onshore,2022,610
IS,onshore,2022,5.75
IN,onshore,2022,69433.59
ID,onshore,2022,7.7
IR,onshore,2022,759
IE,onshore,2022,11127.43
IE,offshore,2022,81
IL,onshore,2022,317
IT,onshore,2022,20494.18
JM,onshore,2022,272.33
JP,onshore,2022,9192
JP,offshore,2022,105
JO,onshore,2022,1783.9
KZ,onshore,2022,2361.8
KE,onshore,2022,85.34
XK,onshore,2022,362.94
KW,onshore,2022,1722.08
LV,onshore,2022,190.18
LT,onshore,2022,1512.4
LU,onshore,2022,312.22
MG,onshore,2022,0.47
MV,onshore,2022,2.47
MT,onshore,2022,0.06
MH,onshore,2022,0.02
MQ,onshore,2022,40.24
MR,onshore,2022,131.19
MU,onshore,2022,15.48
MX,onshore,2022,20629
FM,onshore,2022,0.94
MN,onshore,2022,509.51
ME,onshore,2022,324.7
MA,onshore,2022,5371.12
MM,onshore,2022,0.02
NA,onshore,2022,21.6
NP,onshore,2022,0.35
NL,onshore,2022,13386.21
NL,offshore,2022,8014.59
NC,onshore,2022,43.11
NZ,onshore,2022,2865
NI,onshore,2022,561.87
MK,onshore,2022,107.66
NO,onshore,2022,14804.86
NO,offshore,2022,5
OM,onshore,2022,114.62
PK,onshore,2022,4244.27
PA,onshore,2022,584.3
PY,onshore,2022,0.04
PE,onshore,2022,1931.87
PH,onshore,2022,1030
PL,onshore,2022,19779.54
PT,onshore,2022,13165.83
PT,offshore,2022,78.18
PR,onshore,2022,155.7
KR,onshore,2022,3136.34
KR,offshore,2022,235.66
MD,onshore,2022,142.37
RE,onshore,2022,2.9
RO,onshore,2022,6996.87
RU,onshore,2022,5547.5
KN,onshore,2022,5.58
WS,onshore,2022,0.19
SA,onshore,2022,1588
SN,onshore,2022,395.56
RS,onshore,2022,949.34
SC,onshore,2022,6.58
SG,onshore,2022,0.35
SK,onshore,2022,4
SI,onshore,2022,5.73
SO,onshore,2022,6
ZA,onshore,2022,223.75
GS,onshore,2022,0.01
ES,onshore,2022,62773
ES,offshore,2022,11
LK,onshore,2022,737.91
SE,onshore,2022,32703
SE,offshore,2022,550
CH,onshore,2022,150
SY,onshore,2022,1.05
TH,onshore,2022,3004.34
TK,onshore,2022,0.04
TO,onshore,2022,1.31
TT,onshore,2022,0.03
TN,onshore,2022,322
TR,onshore,2022,34945.45
UA,onshore,2022,3358.68
AE,onshore,2022,0.05
GB,onshore,2022,35237.39
GB,offshore,2022,45019.87
TZ,onshore,2022,4.21
US,onshore,2022,439125.29
US,offshore,2022,144.72
VI,onshore,2022,0.27
UY,onshore,2022,4775.61
VU,onshore,2022,2.77
YV,onshore,2022,16.22
VN,onshore,2022,6787.45
VN,offshore,2022,1657.95